"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P3";"pin_socket_20x2";1;"Raspberry_Pi_+_Conn";;;
2;"REF**,REF**,REF**,REF**";"MountingHole_3mm";4;"MountingHole_3mm";;;
3;"C1";"c_elec_6.3x7.7";1;"50uf/50v";;;
4;"C2,C4,C5,C7";"c_0402";4;"0.1uf";;;
5;"C3";"c_0402";1;"1nf";;;
6;"C6";"c_elec_4x5.3";1;"10uf/6.3V";;;
7;"D1";"do214aa";1;"DIODESCH";;;
8;"D3";"Led_0603";1;"LED";;;
9;"JP1";"r_0603";1;"JUMPER";;;
10;"L1";"inductor_smd_8x5mm";1;"22uH";;;
11;"P1";"pin_strip_2";1;"CONN_01X02";;;
12;"P2";"mkds_1,5-2";1;"CONN_01X02";;;
13;"Q1";"sot23";1;"BSS138";;;
14;"R1";"r_0402";1;"1k";;;
15;"R2";"r_0402";1;"24k";;;
16;"R3,R5";"r_0402";2;"3.9k";;;
17;"R6";"r_0402";1;"30k";;;
18;"R7,R11";"r_0402";2;"10k";;;
19;"R8";"r_0402";1;"390";;;
20;"R9";"r_0402";1;"240";;;
21;"R10";"r_0402";1;"360";;;
22;"R12";"r_0402";1;"47k";;;
23;"U1";"msoic-8";1;"LM3489";;;
24;"U2";"tssop-8";1;"CAT24C32HU4I-GT3";;;
25;"U3";"sot23-6";1;"FDC5614P";;;
26;"U4";"sot223";1;"LM1117IMPX-ADJ";;;
27;"U5";"sot23-6";1;"DMMT5401";;;
28;"R4";"r_0402";1;"270";;;
29;"C8";"c_0402";1;"1uf";;;
